SEXO,,,
,,,
,,,
AREA # 01,AZUAY,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,279792,47,47
Mujer,319754,53,100
Total,599546,100,100
,,,
AREA # 02,BOLIVAR,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,83156,49,49
Mujer,86214,51,100
Total,169370,100,100
,,,
AREA # 03,CAÑAR,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,95010,46,46
Mujer,111971,54,100
Total,206981,100,100
,,,
AREA # 04,CARCHI,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,75834,50,50
Mujer,77105,50,100
Total,152939,100,100
,,,
AREA # 05,COTOPAXI,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,169303,48,48
Mujer,180237,52,100
Total,349540,100,100
,,,
AREA # 06,CHIMBORAZO,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,190667,47,47
Mujer,212965,53,100
Total,403632,100,100
,,,
AREA # 07,EL ORO,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,266716,51,51
Mujer,259047,49,100
Total,525763,100,100
,,,
AREA # 08,ESMERALDAS,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,197150,51,51
Mujer,188073,49,100
Total,385223,100,100
,,,
AREA # 09,GUAYAS,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,1648398,50,50
Mujer,1660636,50,100
Total,3309034,100,100
,,,
AREA # 10,IMBABURA,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,167818,49,49
Mujer,176226,51,100
Total,344044,100,100
,,,
AREA # 11,LOJA,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,197595,49,49
Mujer,207240,51,100
Total,404835,100,100
,,,
AREA # 12,LOS RIOS,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,335279,52,52
Mujer,314899,48,100
Total,650178,100,100
,,,
AREA # 13,MANABI,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,596502,50,50
Mujer,589523,50,100
Total,1186025,100,100
,,,
AREA # 14,MORONA SANTIAGO,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,57425,50,50
Mujer,57987,50,100
Total,115412,100,100
,,,
AREA # 15,NAPO,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,40284,51,51
Mujer,38855,49,100
Total,79139,100,100
,,,
AREA # 16,PASTAZA,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,31988,52,52
Mujer,29791,48,100
Total,61779,100,100
,,,
AREA # 17,PICHINCHA,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,1167332,49,49
Mujer,1221485,51,100
Total,2388817,100,100
,,,
AREA # 18,TUNGURAHUA,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,213513,48,48
Mujer,227521,52,100
Total,441034,100,100
,,,
AREA # 19,ZAMORA CHINCHIPE,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,39662,52,52
Mujer,36939,48,100
Total,76601,100,100
,,,
AREA # 20,GALAPAGOS,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,10204,55,55
Mujer,8436,45,100
Total,18640,100,100
,,,
AREA # 21,SUCUMBIOS,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,70139,54,54
Mujer,58856,46,100
Total,128995,100,100
,,,
AREA # 22,ORELLANA,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,46798,54,54
Mujer,39695,46,100
Total,86493,100,100
,,,
AREA # 90,ZONA NO DELIMITADA ,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,37788,52,52
Mujer,34800,48,100
Total,72588,100,100
,,,
RESUMEN,,,
,,,
SEXO,Casos,%,Acumulado %
Hombre,6018353,50,50
Mujer,6138255,50,100
Total,12156608,100,100
,,,
Procesado con Redatam+SP,,,
CEPAL/CELADE 2003-2011,,,
