Sexo,,,
,,,
CEPAL/CELADE Redatam+SP 1/26/2016,,,
,,,
Base de datos,,,
 Ecuador::Censo de Población y Vivienda 2010,,,
Área Geográfica,,,
 Toda la Base de Datos,,,
Título,,,
 Sexo,,,
Frecuencia,,,
  de Sexo,,,
,,,
AREA # 01,AZUAY,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,337044,47,47
Mujer,375083,53,100
Total,712127,100,100
,,,
AREA # 02,BOLIVAR,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,89875,49,49
Mujer,93766,51,100
Total,183641,100,100
,,,
AREA # 03,CA—AR,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,105235,47,47
Mujer,119949,53,100
Total,225184,100,100
,,,
AREA # 04,CARCHI,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,81155,49,49
Mujer,83369,51,100
Total,164524,100,100
,,,
AREA # 05,COTOPAXI,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,198625,49,49
Mujer,210580,51,100
Total,409205,100,100
,,,
AREA # 06,CHIMBORAZO,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,219401,48,48
Mujer,239180,52,100
Total,458581,100,100
,,,
AREA # 07,EL ORO,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,304362,51,51
Mujer,296297,49,100
Total,600659,100,100
,,,
AREA # 08,ESMERALDAS,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,271312,51,51
Mujer,262780,49,100
Total,534092,100,100
,,,
AREA # 09,GUAYAS,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,1815914,50,50
Mujer,1829569,50,100
Total,3645483,100,100
,,,
AREA # 10,IMBABURA,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,193664,49,49
Mujer,204580,51,100
Total,398244,100,100
,,,
AREA # 11,LOJA,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,220794,49,49
Mujer,228172,51,100
Total,448966,100,100
,,,
AREA # 12,LOS RIOS,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,398099,51,51
Mujer,380016,49,100
Total,778115,100,100
,,,
AREA # 13,MANABI,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,689299,50,50
Mujer,680481,50,100
Total,1369780,100,100
,,,
AREA # 14,MORONA SANTIAGO,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,74849,51,51
Mujer,73091,49,100
Total,147940,100,100
,,,
AREA # 15,NAPO,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,52774,51,51
Mujer,50923,49,100
Total,103697,100,100
,,,
AREA # 16,PASTAZA,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,42260,50,50
Mujer,41673,50,100
Total,83933,100,100
,,,
AREA # 17,PICHINCHA,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,1255711,49,49
Mujer,1320576,51,100
Total,2576287,100,100
,,,
AREA # 18,TUNGURAHUA,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,244783,49,49
Mujer,259800,51,100
Total,504583,100,100
,,,
AREA # 19,ZAMORA CHINCHIPE,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,47452,52,52
Mujer,43924,48,100
Total,91376,100,100
,,,
AREA # 20,GALAPAGOS,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,13021,52,52
Mujer,12103,48,100
Total,25124,100,100
,,,
AREA # 21,SUCUMBIOS,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,92848,53,53
Mujer,83624,47,100
Total,176472,100,100
,,,
AREA # 22,ORELLANA,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,72130,53,53
Mujer,64266,47,100
Total,136396,100,100
,,,
AREA # 23,SANTO DOMINGO DE LOS TSACHILAS,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,183058,50,50
Mujer,184955,50,100
Total,368013,100,100
,,,
AREA # 24,SANTA ELENA,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,156862,51,51
Mujer,151831,49,100
Total,308693,100,100
,,,
AREA # 90,ZONA NO DELIMITADA ,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,17156,53,53
Mujer,15228,47,100
Total,32384,100,100
,,,
RESUMEN,,,
,,,
Sexo,Casos,%,Acumulado %
Hombre,7177683,50,50
Mujer,7305816,50,100
Total,14483499,100,100
,,,
Procesado con Redatam+SP,,,
CENSO DE POBLACION Y VIVIENDA 2010,,,
"INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS - INEC, ECUADOR",,,
